datetime,Antall forekomster
2011-10-30 02:00:00,2
2018-10-28 02:45:00,2
2016-10-30 02:15:00,2
2016-10-30 02:30:00,2
2016-10-30 02:45:00,2
2017-10-29 02:00:00,2
2017-10-29 02:15:00,2
2017-10-29 02:30:00,2
2017-10-29 02:45:00,2
2018-10-28 02:00:00,2
2018-10-28 02:15:00,2
2018-10-28 02:30:00,2
2019-10-27 02:00:00,2
2011-10-30 02:15:00,2
2019-10-27 02:15:00,2
2019-10-27 02:30:00,2
2019-10-27 02:45:00,2
2020-10-25 02:00:00,2
2020-10-25 02:15:00,2
2020-10-25 02:30:00,2
2020-10-25 02:45:00,2
2021-10-31 02:00:00,2
2021-10-31 02:15:00,2
2021-10-31 02:30:00,2
2016-10-30 02:00:00,2
2015-10-25 02:45:00,2
2015-10-25 02:30:00,2
2015-10-25 02:15:00,2
2011-10-30 02:30:00,2
2011-10-30 02:45:00,2
2012-10-28 02:00:00,2
2012-10-28 02:15:00,2
2012-10-28 02:30:00,2
2012-10-28 02:45:00,2
2013-10-27 02:00:00,2
2013-10-27 02:15:00,2
2013-10-27 02:30:00,2
2013-10-27 02:45:00,2
2014-04-07 03:15:00,2
2014-06-20 14:00:00,2
2014-06-20 15:00:00,2
2014-06-25 11:00:00,2
2014-06-25 12:15:00,2
2014-06-25 14:00:00,2
2014-10-26 02:00:00,2
2014-10-26 02:15:00,2
2014-10-26 02:30:00,2
2014-10-26 02:45:00,2
2015-10-25 02:00:00,2
2021-10-31 02:45:00,2
